Qty,Designator,Footprint,Comment,LCSC Part #
2,"R1, R2",R-EU_R1206,"RESISTOR, European symbol",C25334
4,"C2, C3, C4, C8",C-EUC0603,"CAPACITOR, European symbol",C14663
4,"C5, C6, C11, C12",C-EUC0603,"CAPACITOR, European symbol",C14663
1,C9,"CPOL-EUUD-6,3X7,7","POLARIZED CAPACITOR, European symbol",C176675
10,"R3, R4, R5, R6, R7, R8, R9, R10, R11, R12",R-EU_R0603,"RESISTOR, European symbol",C25804
1,C1,C-EUC0603,"CAPACITOR, European symbol",C57112
1,L1,10μH_SHIELDED_INDUCTOR0805,Murata 10uH Inductor,C1046
3,"R13, R14, R15",R-EU_R0603,"RESISTOR, European symbol",C23025
2,"C7, C10",C-EUC0603,"CAPACITOR, European symbol",C1623
1,IC2,7805DT,Positive VOLTAGE REGULATOR,C310413
1,LED3,LEDSML0603,LED,C72041
1,U1,DRV8825PWP,2.5A Bipolar Stepper Motor Driver with On-Chip 1/32 Microstepping Indexer (Step/Dir Ctrl) 28-HTSSOP -40 to 85,C81582
1,LED2,LEDSML0603,LED,C72043
1,IC1,MEGA8-AI,MICROCONTROLLER,C8727
1,LED1,LEDSML0603,LED,C2286
